ntree,maxnodes,nodesize,mtry,accTa,accTe
150,300,3,1,0.81863,0.792
160,300,3,1,0.81916,0.79241
170,300,3,1,0.81819,0.7918
180,300,3,1,0.81722,0.79283
190,300,3,1,0.81925,0.79448
200,300,3,1,0.81898,0.79489
210,300,3,1,0.81978,0.79592
220,300,3,1,0.81934,0.79489
230,300,3,1,0.8204,0.79509
240,300,3,1,0.82013,0.79571
250,300,3,1,0.82084,0.79612
260,300,3,1,0.82128,0.79654
270,300,3,1,0.82075,0.79571
280,300,3,1,0.82163,0.79716
290,300,3,1,0.82137,0.79736
300,300,3,1,0.8211,0.79612
10,400,3,1,0.83161,0.80107
20,400,3,1,0.8423,0.81365
30,400,3,1,0.84477,0.81406
40,400,3,1,0.84706,0.81385
50,400,3,1,0.84698,0.8155
60,400,3,1,0.84777,0.81839
70,400,3,1,0.85007,0.81777
80,400,3,1,0.84989,0.81839
90,400,3,1,0.84892,0.81777
100,400,3,1,0.84945,0.8188
110,400,3,1,0.85007,0.81921
120,400,3,1,0.85051,0.82045
130,400,3,1,0.8506,0.82066
140,400,3,1,0.85121,0.82107
150,400,3,1,0.84839,0.81839
160,400,3,1,0.84883,0.81901
170,400,3,1,0.84954,0.82004
180,400,3,1,0.85051,0.82066
190,400,3,1,0.85033,0.81983
200,400,3,1,0.84989,0.82004
210,400,3,1,0.85033,0.82024
220,400,3,1,0.84989,0.81921
230,400,3,1,0.84998,0.81859
240,400,3,1,0.8498,0.81942
250,400,3,1,0.84927,0.82004
260,400,3,1,0.84971,0.8188
270,400,3,1,0.84901,0.82004
280,400,3,1,0.84901,0.81942
290,400,3,1,0.84901,0.81921
300,400,3,1,0.84874,0.81942
10,500,3,1,0.85845,0.81777
20,500,3,1,0.86022,0.82251
30,500,3,1,0.86932,0.83137
40,500,3,1,0.86861,0.83158
50,500,3,1,0.86764,0.83199
60,500,3,1,0.86843,0.83364
70,500,3,1,0.86755,0.83447
80,500,3,1,0.86773,0.83364
90,500,3,1,0.86861,0.83632
100,500,3,1,0.8702,0.83509
110,500,3,1,0.86958,0.83529
120,500,3,1,0.87126,0.83838
130,500,3,1,0.86914,0.83323
140,500,3,1,0.87046,0.8355
150,500,3,1,0.87029,0.83653
160,500,3,1,0.87064,0.83735
170,500,3,1,0.87223,0.83859
180,500,3,1,0.87091,0.83777
190,500,3,1,0.8702,0.8355
200,500,3,1,0.87108,0.83777
210,500,3,1,0.87108,0.83653
220,500,3,1,0.87126,0.83488
230,500,3,1,0.87046,0.83447
240,500,3,1,0.87038,0.83467
250,500,3,1,0.87091,0.8357
260,500,3,1,0.87126,0.83467
270,500,3,1,0.87055,0.83529
280,500,3,1,0.87073,0.83715
290,500,3,1,0.87161,0.83818
300,500,3,1,0.87276,0.83838
10,600,3,1,0.88062,0.83034
20,600,3,1,0.88839,0.84457
30,600,3,1,0.88998,0.84725
40,600,3,1,0.89192,0.84952
50,600,3,1,0.89157,0.84972
60,600,3,1,0.8913,0.85034
70,600,3,1,0.8936,0.85343
80,600,3,1,0.89325,0.85323
90,600,3,1,0.89457,0.85281
100,600,3,1,0.89333,0.8524
110,600,3,1,0.89501,0.85343
120,600,3,1,0.89475,0.85549
130,600,3,1,0.89448,0.85199
140,600,3,1,0.8943,0.8522
150,600,3,1,0.8951,0.85116
160,600,3,1,0.89589,0.85302
170,600,3,1,0.89536,0.85281
180,600,3,1,0.89589,0.85343
190,600,3,1,0.89528,0.85343
200,600,3,1,0.89519,0.85261
210,600,3,1,0.89466,0.8524
220,600,3,1,0.89475,0.8522
230,600,3,1,0.89607,0.85364
240,600,3,1,0.89545,0.85323
250,600,3,1,0.89475,0.85323
260,600,3,1,0.89475,0.85302
270,600,3,1,0.89457,0.85302
280,600,3,1,0.89492,0.85446
290,600,3,1,0.89519,0.85488
300,600,3,1,0.89466,0.85467
10,700,3,1,0.89457,0.84622
20,700,3,1,0.9019,0.85694
30,700,3,1,0.90322,0.85941
40,700,3,1,0.90605,0.86168
50,700,3,1,0.90764,0.86353
60,700,3,1,0.90737,0.86477
70,700,3,1,0.90773,0.86271
80,700,3,1,0.9079,0.86518
90,700,3,1,0.90905,0.8658
100,700,3,1,0.90949,0.86621
110,700,3,1,0.90967,0.86663
120,700,3,1,0.90843,0.86704
130,700,3,1,0.90887,0.86704
140,700,3,1,0.90905,0.86704
150,700,3,1,0.90914,0.86704
160,700,3,1,0.91038,0.86889
170,700,3,1,0.9094,0.8691
180,700,3,1,0.90949,0.86766
190,700,3,1,0.90985,0.86889
200,700,3,1,0.90905,0.86951
210,700,3,1,0.90967,0.8691
220,700,3,1,0.9094,0.86827
230,700,3,1,0.90985,0.86827
240,700,3,1,0.90985,0.86827
